"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Xkr4"	0	NA	NA	NA	NA	NA
"Rp1"	0	NA	NA	NA	NA	NA
"Sox17"	0	NA	NA	NA	NA	NA
"Mrpl15"	3.64861168863601	0.643539906015859	0.930917952884481	0.691296052484355	0.489379512042912	NA
"Lypla1"	6.60139045196706	0.696004060580642	0.819420508648296	0.849385697861968	0.395666708826201	0.999227153164369
"Tcea1"	1.9713125820495	-0.0805507150042468	1.05801342650179	-0.0761339251341819	0.939312550102415	NA
"Rgs20"	0	NA	NA	NA	NA	NA
"Atp6v1h"	3.84102602704666	0.764498540566385	0.932559334726409	0.819785414287522	0.412338447394019	NA
"Oprk1"	0	NA	NA	NA	NA	NA
"Npbwr1"	0	NA	NA	NA	NA	NA
"Rb1cc1"	0.704328311815314	0.630618676385513	0.838444797927726	0.75212903454602	0.451973464928414	NA
"Fam150a"	0	NA	NA	NA	NA	NA
"St18"	0	NA	NA	NA	NA	NA
"Pcmtd1"	1.9713125820495	-0.0797527684125902	1.06039919576288	-0.0752101366459577	0.940047519322177	NA
"Sntg1"	0	NA	NA	NA	NA	NA
"Rrs1"	2.9189123843136	0.95786932792893	1.00326719293407	0.954749975554991	0.339704150405934	NA
"Adhfe1"	0	NA	NA	NA	NA	NA
"2610203C22Rik"	0	NA	NA	NA	NA	NA
"3110035E14Rik"	0	NA	NA	NA	NA	NA
"Mybl1"	0.738194690832762	0.146973479313671	0.834066420986904	0.176213159546413	0.860126482732289	NA
"Vcpip1"	0.717013808068864	0.161411292747297	0.828084581884091	0.194921263212084	0.84545458782496	NA
"1700034P13Rik"	0	NA	NA	NA	NA	NA
"Sgk3"	0.268642482955885	-0.43929533429559	0.737831958113401	-0.595386699457755	0.551585014102991	NA
"Mcmdc2"	0.469552207876876	0.496029444800976	0.773482146461635	0.64129398082439	0.521331699190374	NA
"Snhg6"	1.46789399515518	-0.0547901428819287	1.07251878778211	-0.0510854854069555	0.95925740185811	NA
"Snord87"	0.469552207876876	0.533257993026978	0.794596772670057	0.671105158450479	0.502153541014868	NA
"Tcf24"	0	NA	NA	NA	NA	NA
"Ppp1r42"	0	NA	NA	NA	NA	NA
"Cops5"	3.86639701955376	0.189156269258623	0.941240403394262	0.200964884822725	0.84072603172564	NA
"Cspp1"	1.43402761613773	0.368613332339041	1.05965071453242	0.347863052686843	0.727943034022323	NA
"Arfgef1"	3.896073288828	0.459680215980916	0.913686787652039	0.503104808117217	0.614890586439436	NA
"Cpa6"	0	NA	NA	NA	NA	NA
"Mir467e"	0	NA	NA	NA	NA	NA
"Prex2"	0.717013808068864	0.161411292747297	0.828084581884091	0.194921263212084	0.84545458782496	NA
"A830018L16Rik"	0	NA	NA	NA	NA	NA
"Mir6341"	0	NA	NA	NA	NA	NA
"Gm17644"	0	NA	NA	NA	NA	NA
"Sulf1"	0.977160904514403	-0.374179464552223	0.915513438432966	-0.408709964096961	0.682752520614522	NA
"Slco5a1"	0.482237704130426	-0.0137507758879931	0.78797011559185	-0.0174508850220351	0.986076914946203	NA
"Prdm14"	2.42817929367283	0.703912695945279	1.02175772315392	0.688923293647802	0.490871539923408	NA
"Ncoa2"	2.43236940341603	-0.0692742164634494	1.04291197137552	-0.0664238386026794	0.947040391650568	NA
"Tram1"	4.9409669513773	-0.337630258035572	0.859978527129197	-0.392603125990435	0.694612630377321	NA
"Lactb2"	1.72385098185751	0.130125383296114	1.07714415541136	0.120805913156925	0.903844766389478	NA
"Xkr9"	0	NA	NA	NA	NA	NA
