Geneid	smallsample1.fastq_tophat/accepted_hits.bam	smallsample2.fastq_tophat/accepted_hits.bam
Xkr4	0	0
Rp1	0	0
Sox17	0	0
Mrpl15	3	2
Lypla1	7	2
Tcea1	2	2
Rgs20	0	0
Atp6v1h	1	4
Oprk1	0	0
Npbwr1	0	0
Rb1cc1	0	0
Fam150a	0	0
St18	0	0
Pcmtd1	2	2
Sntg1	0	0
Rrs1	3	0
Adhfe1	0	0
2610203C22Rik	0	0
3110035E14Rik	0	0
Mybl1	1	0
Vcpip1	0	1
1700034P13Rik	0	0
Sgk3	1	0
Mcmdc2	0	0
Snhg6	1	2
Snord87	0	0
Tcf24	0	0
Ppp1r42	0	0
Cops5	1	6
Cspp1	0	2
Arfgef1	3	3
Cpa6	0	0
Mir467e	0	0
Prex2	0	1
A830018L16Rik	0	0
Mir6341	0	0
Gm17644	0	0
Sulf1	0	3
Slco5a1	0	1
Prdm14	2	1
Ncoa2	1	4
Tram1	5	6
Lactb2	2	1
Xkr9	0	0
Gm5523	0	0
Eya1	0	0
Msc	1	0
Trpa1	0	0
Kcnb2	0	0
Terf1	0	1
Sbspon	0	0
4930444P10Rik	0	0
Rpl7	4	4
Rdh10	1	0
Stau2	1	1
Ube2w	2	1
Tceb1	1	0
D030040B21Rik	0	0
Tmem70	1	1
Ly96	0	0
Jph1	1	0
Gdap1	0	0
Pi15	0	0
Crispld1	0	0
Crisp4	0	0
Defb44-ps	0	0
Defb18	0	0
Defb41	0	0
Gm15386	0	0
Tfap2d	0	0
Tfap2b	0	0
Pkhd1	0	0
4930486I03Rik	0	0
Mir206	0	0
Mir133b	0	0
Il17a	0	0
Il17f	0	0
Mcm3	13	13
6720483E21Rik	0	0
Paqr8	0	1
Efhc1	0	0
Tram2	0	0
Tmem14a	0	0
Gsta3	0	0
Gm4956	0	0
Khdc1a	0	0
Khdc1c	0	0
Khdc1b	0	0
Kcnq5	0	0
Rims1	0	0
4933415F23Rik	0	0
Mir30a	0	0
Mir30c-2	0	0
Ogfrl1	0	0
B3gat2	0	1
Smap1	3	3
1110058L19Rik	1	0
Fam135a	0	1
Col9a1	0	0
Col19a1	0	0
Lmbrd1	1	0
Bai3	0	0
Gm20172	0	0
4931408C20Rik	0	0
Gm597	0	0
Mir6342	0	0
Phf3	8	8
Ptp4a1	1	0
Gm13363	0	0
4931428L18Rik	0	0
Lgsn	0	0
Pih1d3	0	0
Gm4850	0	0
Khdrbs2	0	0
Gm9839	0	0
Gm5415	0	0
Prim2	3	2
1700001G17Rik	0	0
Rab23	1	2
Bag2	0	0
Zfp451	2	1
Gm15455	0	0
Bend6	0	0
Dst	5	3
Mir6896	0	0
Mir5103	0	0
Ccdc115	0	0
Imp4	2	7
Ptpn18	0	0
Prss39	0	0
Cfc1	0	0
Prss40	0	0
Amer3	0	0
AA619741	0	0
Arhgef4	0	0
Fam168b	4	7
Plekhb2	1	0
Mir7669	0	0
Hs6st1	4	4
Uggt1	4	9
Mir6897	0	0
Neurl3	0	0
Arid5a	0	0
Kansl3	1	1
Mir6898	0	0
Fer1l5	0	0
Lman2l	1	2
Cnnm4	1	0
Cnnm3	1	2
Ankrd23	1	0
Ankrd39	1	0
Sema4c	0	0
Fam178b	0	0
Cox5b	0	1
Actr1b	2	5
4933424G06Rik	0	0
Zap70	0	0
Tmem131	4	8
Cnga3	0	1
Inpp4a	1	1
Coa5	0	2
Unc50	0	2
Mgat4a	1	1
4930594C11Rik	0	0
2010300C02Rik	0	0
Tsga10	0	0
Lipt1	0	1
Mitd1	1	0
Mrpl30	2	0
Lyg2	0	0
Lyg1	0	0
Txndc9	1	0
Eif5b	6	9
Rev1	1	4
Aff3	2	1
Lonrf2	0	0
Chst10	0	2
Nms	0	0
Pdcl3	1	2
Mir6349	0	0
Npas2	0	0
Rpl31	0	0
Tbc1d8	1	0
Cnot11	0	4
Snord89	0	0
Rnf149	3	0
Creg2	0	0
Rfx8	0	0
Gm3646	0	0
1700066B17Rik	0	0
Map4k4	8	13
Gm16894	0	0
Il1r2	0	1
Il1r1	0	0
Il1rl2	0	0
Il1rl1	0	0
Il18r1	0	0
Il18rap	0	0
Slc9a4	0	0
Slc9a2	0	0
Mfsd9	0	0
Tmem182	0	0
4930448I06Rik	0	0
Pou3f3os	0	0
Pou3f3	0	0
2900092D14Rik	0	0
2610207O16Rik	0	0
Mrps9	2	1
Gpr45	0	0
Tgfbrap1	0	2
AI597479	0	1
Fhl2	0	0
Nck2	1	0
1500015O10Rik	0	0
Uxs1	0	1
Tpp2	2	4
Mettl21c	0	0
Tex30	0	0
Kdelc1	1	0
Bivm	2	1
Ercc5	0	1
Mettl21e	0	0
Gulp1	0	0
4930521E06Rik	0	0
Col3a1	0	0
Col5a2	0	0
Wdr75	13	5
Slc40a1	1	0
Gm4776	0	0
Dnah7b	0	0
Slc39a10	8	3
Mir6350	0	0
Tmeff2	0	0
9330175M20Rik	0	0
Sdpr	0	0
Nabp1	1	4
Myo1b	2	3
Stat4	0	0
Stat1	0	0
Gls	2	2
Nab1	0	0
Tmem194b	2	3
Mfsd6	0	0
Inpp1	0	0
Hibch	0	0
1700019D03Rik	0	0
Mstn	0	0
1700019A02Rik	0	0
Pms1	2	1
Ormdl1	1	1
Osgepl1	0	0
Asnsd1	2	4
Dnah7a	0	0
Stk17b	1	1
Hecw2	1	1
Mir7681	0	0
Ccdc150	0	0
Gtf3c3	6	1
Pgap1	4	1
Ankrd44	0	0
Sf3b1	11	22
Coq10b	0	0
Hspd1	6	10
Hspe1	2	6
Mob4	0	0
Rftn2	0	0
Mars2	1	1
Boll	0	0
Plcl1	0	0
9130227L01Rik	0	0
Hsfy2	0	0
Satb2	1	0
9130024F11Rik	0	0
BC055402	0	0
4930558J18Rik	0	0
1700066M21Rik	0	1
Tyw5	0	0
9430016H08Rik	0	1
Spats2l	0	0
Kctd18	0	0
Sgol2	4	2
Aox1	0	0
Aox3	0	0
Aox4	0	0
Aox2	0	0
Bzw1	12	10
Clk1	3	2
Ppil3	0	2
Nif3l1	4	3
Orc2	6	3
Fam126b	0	1
Ndufb3	1	2
Gm20257	0	0
Als2cr12	0	0
Cflar	0	1
Casp8	0	1
Trak2	2	3
Stradb	1	0
Als2cr11	0	0
Tmem237	0	1
Mpp4	0	0
Als2	3	1
Cdk15	0	0
Fzd7	9	10
Gm973	0	0
Sumo1	1	1
Nop58	9	7
Snord70	0	0
Snord11	0	0
Bmpr2	3	3
Fam117b	4	0
Ica1l	0	0
Wdr12	2	3
Carf	0	0
Nbeal1	0	1
Cyp20a1	0	0
Abi2	4	5
Raph1	3	3
Cd28	0	0
Ctla4	0	0
Icos	0	0
9530026F06Rik	0	0
Pard3b	0	0
